surf_id,loop_id,line_ids_oriented,point_ids,edge_len_1,edge_len_2,edge_len_3,angle_A_deg,angle_B_deg,angle_C_deg,min_angle_deg,max_edge_m
1,1,1;2;3,9;13;62,2005.967,25114.758,27120.722,0.097281,179.894949,0.007770,0.007770,27120.722
2,2,4;5;6,49;124;125,4667.133,2333.549,2333.588,0.074673,0.074674,179.850654,0.074673,4667.133
6,6,16;17;18,5;9;46,2476.822,11484.442,9089.702,163.331294,13.122038,3.546668,3.546668,11484.442
9,9,25;26;27,83;84;85,2980.394,2981.080,5961.474,0.006998,179.986006,0.006996,0.006996,5961.474
39,39,115;116;117,69;70;75,2984.676,14906.981,17891.036,1.067115,178.719239,0.213646,0.213646,17891.036
54,54,160;161;162,5;46;50,9089.702,2982.968,6215.328,6.082371,12.754550,161.163078,6.082371,9089.702
55,55,163;164;165,1;5;50,2480.311,6215.328,3809.141,161.979531,10.929041,7.091428,7.091428,6215.328
60,60,178;179;180,69;75;76,17891.036,2977.697,20868.326,0.145985,178.976853,0.877162,0.145985,20868.326
61,61,181;182;183,112;114;115,5941.677,2970.118,8910.711,0.631716,178.104468,1.263816,0.631716,8910.711
62,62,184;185;186,112;115;116,8910.711,2970.875,11881.055,0.312846,178.748781,0.938373,0.312846,11881.055
63,63,187;188;189,100;112;116,35458.878,11881.055,47339.829,0.069545,179.722899,0.207556,0.069545,47339.829
64,64,190;191;192,64;67;68,8944.653,2983.424,11925.999,0.617792,177.529708,1.852500,0.617792,11925.999
65,65,193;194;195,64;65;67,2979.759,5966.046,8944.653,1.300724,178.049668,0.649608,0.649608,8944.653
66,66,196;197;198,65;66;67,2980.836,2986.209,5966.046,1.049655,177.902578,1.047766,1.047766,5966.046
72,72,214;215;216,13;18;60,2176.693,17490.694,19467.545,23.366804,153.804023,2.829173,2.829173,19467.545
77,77,229;230;231,48;86;87,2968.252,2973.800,5942.022,0.185453,179.629441,0.185107,0.185107,5942.022
87,87,259;260;261,49;120;121,5939.026,2966.896,2972.887,0.913673,0.915518,178.170809,0.913673,5939.026
89,89,265;266;267,70;74;75,11925.278,2983.411,14906.981,0.433666,177.832637,1.733696,0.433666,14906.981
94,94,280;281;282,76;77;79,2984.292,5964.497,8948.454,0.701389,178.947682,0.350928,0.350928,8948.454
95,95,283;284;285,49;117;120,14854.422,8917.561,5939.026,1.198683,0.798281,178.003035,0.798281,14854.422
96,96,286;287;288,117;118;119,2975.606,2969.651,5944.524,0.898478,178.201242,0.900280,0.898478,5944.524
97,97,289;290;291,117;119;120,5944.524,2974.045,8917.561,0.609170,178.173151,1.217679,0.609170,8917.561
102,102,304;305;306,71;73;74,5958.298,2985.553,8941.798,0.869000,177.396530,1.734470,0.869000,8941.798
103,103,307;308;309,70;71;74,2984.698,8941.798,11925.278,1.417852,178.108923,0.473224,0.473224,11925.278
109,109,325;326;327,98;99;100,2974.184,2970.425,5944.608,0.031758,179.936443,0.031799,0.031758,5944.608
118,118,352;353;354,13;61;62,22194.673,2953.860,25114.758,1.080947,170.770086,8.148967,1.080947,25114.758
119,119,355;356;357,13;60;61,19467.545,2981.296,22194.673,3.320640,154.454944,22.224416,3.320640,22194.673
127,127,379;380;381,4;87;88,1644.085,2974.807,2785.026,79.874795,67.164594,32.960610,32.960610,2974.807
141,141,421;422;423,112;113;114,2974.172,2969.280,5941.677,1.399335,177.199024,1.401641,1.399335,5941.677
144,144,430;431;432,77;78;79,2985.526,2979.488,5964.497,0.753416,178.491642,0.754943,0.753416,5964.497
168,168,502;503;504,100;106;107,17707.041,2972.434,20637.940,1.484165,169.640069,8.875765,1.484165,20637.940
169,169,505;506;507,100;101;106,2958.112,14779.774,17707.041,7.560869,170.930068,1.509063,1.509063,17707.041
178,178,532;533;534,23;55;56,1340.135,2980.111,4207.032,19.729997,151.538113,8.731891,8.731891,4207.032
179,179,535;536;537,18;23;58,2241.480,9952.119,12018.598,20.622917,154.827123,4.549960,4.549960,12018.598
180,180,538;539;540,23;56;58,4207.032,5911.218,9952.119,12.345916,158.901291,8.752793,8.752793,9952.119
184,184,550;551;552,56;57;58,2976.908,2983.362,5911.218,7.363800,165.288418,7.347782,7.347782,5911.218
185,185,553;554;555,89;93;94,11733.136,2969.374,14697.735,0.734460,176.362242,2.903297,0.734460,14697.735
186,186,556;557;558,94;95;96,2967.772,2975.591,5943.360,0.060939,179.878283,0.060779,0.060779,5943.360
220,220,658;659;660,71;72;73,2976.025,2983.595,5958.298,1.208235,177.586596,1.205169,1.205169,5958.298
224,224,670;671;672,100;107;108,20637.940,2967.365,23579.146,1.021138,171.858941,7.119921,1.021138,23579.146
225,225,673;674;675,100;108;109,23579.146,2975.672,26548.385,0.447868,176.000999,3.551133,0.447868,26548.385
233,233,697;698;699,100;109;110,26548.385,2971.176,29517.812,0.208619,177.926976,1.864405,0.208619,29517.812
237,237,709;710;711,104;105;106,2972.138,2969.688,5929.351,3.711849,172.573234,3.714916,3.711849,5929.351
252,252,754;755;756,18;58;59,12018.598,2975.850,14756.280,5.020425,154.282255,20.697320,5.020425,14756.280
253,253,757;758;759,18;59;60,14756.280,2983.475,17490.694,4.256983,154.203552,21.539465,4.256983,17490.694
256,256,766;767;768,27;55;56,958.924,2980.111,2072.308,157.320842,15.552294,7.126864,7.126864,2980.111
261,261,781;782;783,89;92;93,8784.809,2972.036,11733.136,2.114485,171.624441,6.261074,2.114485,11733.136
271,271,811;812;813,76;79;80,8948.454,2980.927,11928.944,0.283003,178.867422,0.849575,0.283003,11928.944
276,276,826;827;828,63;81;82,53658.984,2980.457,56638.904,0.058842,178.881727,1.059431,0.058842,56638.904
277,277,829;830;831,63;64;81,2977.990,50681.634,53658.984,1.154395,178.777778,0.067826,0.067826,53658.984
278,278,832;833;834,64;68;81,11925.999,38759.594,50681.634,1.290866,178.311976,0.397158,0.397158,50681.634
279,279,835;836;837,68;69;81,2978.808,35781.641,38759.594,1.319299,178.570880,0.109822,0.109822,38759.594
280,280,838;839;840,69;76;81,20868.326,14916.639,35781.641,0.660302,178.415917,0.923780,0.660302,35781.641
281,281,841;842;843,76;80;81,11928.944,2987.880,14916.639,0.142531,179.288411,0.569057,0.142531,14916.639
296,296,886;887;888,101;103;106,5920.703,8895.488,14779.774,4.926517,171.796719,3.276763,3.276763,14779.774
297,297,889;890;891,103;104;106,2976.054,5929.351,8895.488,3.818005,174.266726,1.915268,1.915268,8895.488
298,298,892;893;894,101;102;103,2966.016,2967.629,5920.703,3.785942,172.430177,3.783881,3.783881,5920.703
307,307,919;920;921,89;90;92,2947.722,5855.616,8784.809,5.242623,172.120988,2.636389,2.636389,8784.809
324,324,970;971;972,27;31;56,2000.242,102.480,2072.308,2.050542,133.651643,44.297815,2.050542,2072.308
343,343,1027;1028;1029,100;111;112,32484.650,2974.307,35458.878,0.036660,179.562951,0.400390,0.036660,35458.878
344,344,1030;1031;1032,100;110;111,29517.812,2967.392,32484.650,0.106099,178.838436,1.055466,0.106099,32484.650
