surf_id,loop_id,line_ids_oriented,point_ids,edge_len_1,edge_len_2,edge_len_3,angle_A_deg,angle_B_deg,angle_C_deg,min_angle_deg,max_edge_m
1,1,1;2;3,215;226;227,2333.577,2333.549,4667.124,0.062597,179.874806,0.062597,0.062597,4667.124
2,2,4;5;6,247;248;313,2537.685,16081.732,18619.352,0.380155,179.559857,0.059988,0.059988,18619.352
3,3,7;8;9,324;325;326,2974.184,2970.425,5944.608,0.031758,179.936443,0.031799,0.031758,5944.608
4,4,10;11;12,325;326;374,2970.425,2934.934,3031.696,58.536844,61.775079,59.688077,58.536844,3031.696
5,5,13;14;15,72;73;147,2956.404,2951.147,2961.313,59.827585,60.168815,60.003600,59.827585,2961.313
6,6,16;17;18,217;226;464,4667.124,7000.700,2333.577,179.937403,0.020866,0.041731,0.020866,7000.700
7,7,19;20;21,217;226;227,4667.124,2333.549,2333.577,0.062597,0.062597,179.874806,0.062597,4667.124
8,8,22;23;24,1;15;16,4667.175,2333.646,2333.539,0.123371,0.123366,179.753263,0.123366,4667.175
9,9,25;26;27,58;73;74,44209.852,2960.247,47169.605,0.067821,178.919253,1.012926,0.067821,47169.605
10,10,28;29;30,58;74;214,47169.605,2953.087,50122.608,0.026319,179.553293,0.420389,0.026319,50122.608
11,11,31;32;33,315;319;320,11733.136,2970.039,14698.437,0.731681,176.376665,2.891654,0.731681,14698.437
12,12,34;35;36,54;55;568,2955.619,11076.211,8123.496,177.034108,2.174790,0.791102,0.791102,11076.211
13,13,37;38;39,1;55;56,67431.753,2943.865,70369.743,0.154623,176.301345,3.544032,0.154623,70369.743
14,14,40;41;42,72;147;309,2961.313,5005.458,7409.428,28.365568,135.310090,16.324342,16.324342,7409.428
15,15,43;44;45,326;333;334,20637.940,2967.365,23579.146,1.021138,171.858941,7.119921,1.021138,23579.146
16,16,46;47;48,454;463;464,2333.547,2333.579,4667.124,0.062603,179.874795,0.062602,0.062602,4667.124
17,17,49;50;51,217;463;464,4667.154,2333.579,2333.577,0.062599,0.062599,179.874801,0.062599,4667.154
18,18,52;53;54,58;214;218,50122.608,2596.885,52719.426,0.020666,179.580448,0.398886,0.020666,52719.426
19,19,55;56;57,3;16;252,4667.175,7000.700,2333.531,179.838534,0.053821,0.107645,0.053821,7000.700
20,20,58;59;60,3;15;16,2333.538,2333.646,4667.175,0.110481,179.779042,0.110476,0.110476,4667.175
21,21,61;62;63,324;325;567,2974.184,3909.742,2732.482,86.380365,44.226488,49.393147,44.226488,3909.742
22,22,64;65;66,325;407;567,2917.271,1869.107,3909.742,27.122841,107.515092,45.362066,27.122841,3909.742
23,23,67;68;69,325;374;572,3031.696,2427.997,3504.596,42.853002,79.019477,58.127521,42.853002,3504.596
24,24,70;71;72,325;407;572,2917.271,1118.491,3504.596,17.120372,112.722111,50.157517,17.120372,3504.596
25,25,73;74;75,323;324;562,2965.822,3435.412,3143.425,68.362856,58.269728,53.367416,53.367416,3435.412
26,26,76;77;78,324;380;562,3073.765,781.986,3435.412,12.248088,111.252277,56.499635,12.248088,3435.412
27,27,79;80;81,387;444;561,2484.460,2706.665,760.956,98.738336,16.133608,65.128056,16.133608,2706.665
28,28,82;83;84,61;71;72,29474.938,2953.171,32416.195,0.491197,174.600334,4.908469,0.491197,32416.195
29,29,85;86;87,326;374;424,2934.934,2833.132,3133.934,55.540576,65.792948,58.666476,55.540576,3133.934
30,30,88;89;90,374;437;572,2640.334,1747.747,2427.997,40.068657,63.411634,76.519709,40.068657,2640.334
31,31,91;92;93,315;318;319,8784.809,2972.036,11733.136,2.114485,171.624441,6.261074,2.114485,11733.136
32,32,94;95;96,8;40;55,13879.628,43616.885,57432.946,4.778355,173.702676,1.518969,1.518969,57432.946
33,33,97;98;99,121;153;155,2730.080,2835.495,2940.892,59.862797,63.762800,56.374403,56.374403,2940.892
34,34,100;101;102,66;68;69,5914.100,2954.499,8865.917,0.995860,177.010398,1.993742,0.995860,8865.917
35,35,103;104;105,63;66;70,8854.718,11817.434,20648.021,3.198833,174.404852,2.396316,2.396316,20648.021
36,36,106;107;108,66;69;70,8865.917,2955.778,11817.434,0.888146,176.446986,2.664867,0.888146,11817.434
37,37,109;110;111,63;64;66,2949.879,5906.756,8854.718,1.687266,177.470192,0.842542,0.842542,8854.718
38,38,112;113;114,73;74;174,2960.247,2580.809,2937.625,51.897816,63.599506,64.502678,51.897816,2960.247
39,39,115;116;117,73;147;195,2951.147,2714.046,5124.380,24.131165,129.474774,26.394061,24.131165,5124.380
40,40,118;119;120,72;137;309,5106.537,2921.597,7409.428,16.806962,132.835808,30.357231,16.806962,7409.428
41,41,121;122;123,108;344;432,7350.487,5348.054,2639.901,33.407121,15.770153,130.822727,15.770153,7350.487
42,42,124;125;126,108;137;432,2924.324,4726.085,2639.901,116.193141,30.080815,33.726044,30.080815,4726.085
43,43,127;128;129,137;309;432,2921.597,2637.188,4726.085,29.995093,116.374002,33.630905,29.995093,4726.085
44,44,130;131;132,326;332;333,17707.041,2972.434,20637.940,1.484165,169.640069,8.875765,1.484165,20637.940
45,45,133;134;135,454;460;467,2502.206,1744.102,2278.488,42.471344,61.897557,75.631099,42.471344,2502.206
46,46,136;137;138,454;465;467,5940.757,4288.047,2278.488,35.291330,17.877546,126.831123,17.877546,5940.757
47,47,139;140;141,215;229;230,5263.033,3787.132,2311.174,39.769791,22.978932,117.251277,22.978932,5263.033
48,48,142;143;144,229;230;465,3787.132,6790.636,3062.516,164.861809,6.763733,8.374459,6.763733,6790.636
49,49,145;146;147,215;227;229,4667.124,1185.692,5263.033,11.871570,114.056894,54.071536,11.871570,5263.033
50,50,148;149;150,217;227;229,2333.577,1185.692,2144.910,30.331449,65.999932,83.668619,30.331449,2333.577
51,51,151;152;153,217;229;463,2144.910,6607.090,4667.154,149.611711,20.936341,9.451948,9.451948,6607.090
52,52,154;155;156,229;454;463,8917.475,2333.547,6607.090,2.448284,6.946848,170.604867,2.448284,8917.475
53,53,157;158;159,229;454;465,8917.475,5940.757,3062.516,11.046802,5.668758,163.284440,5.668758,8917.475
54,54,160;161;162,117;185;214,2354.327,4103.627,6119.024,24.845761,141.204928,13.949311,13.949311,6119.024
55,55,163;164;165,74;118;214,1792.358,2811.804,2953.087,67.640830,76.236483,36.122686,36.122686,2953.087
56,56,166;167;168,118;185;214,1994.468,4103.627,2811.804,116.220678,37.929548,25.849774,25.849774,4103.627
57,57,169;170;171,350;453;466,4717.182,2442.474,2999.676,26.692161,33.481802,119.826037,26.692161,4717.182
58,58,172;173;174,453;458;466,2499.576,2443.624,2442.474,59.254269,59.208960,61.536771,59.208960,2499.576
59,59,175;176;177,458;459;460,2498.212,2499.463,4997.024,0.925594,178.149275,0.925131,0.925131,4997.024
60,60,178;179;180,240;252;253,4667.175,2333.676,2333.508,0.110475,0.110467,179.779058,0.110467,4667.175
61,61,181;182;183,3;252;253,2333.531,2333.676,4667.194,0.135589,179.728830,0.135581,0.135581,4667.194
62,62,184;185;186,380;561;566,3030.151,2426.137,2625.170,50.183697,56.213347,73.602956,50.183697,3030.151
63,63,187;188;189,444;561;566,2706.665,2426.137,1473.081,63.083720,32.778703,84.137577,32.778703,2706.665
64,64,190;191;192,324;380;566,3073.765,2625.170,4628.566,32.567155,108.362685,39.070159,32.567155,4628.566
65,65,193;194;195,324;566;567,4628.566,2032.750,2732.482,11.826457,15.991645,152.181898,11.826457,4628.566
66,66,196;197;198,407;566;567,2605.612,2032.750,1869.107,50.841535,45.477892,83.680574,45.477892,2605.612
67,67,199;200;201,407;444;566,2264.879,1473.081,2605.612,34.311559,85.612871,60.075570,34.311559,2605.612
68,68,202;203;204,364;444;571,2359.525,1639.373,2114.677,42.549378,60.725112,76.725510,42.549378,2359.525
