surf_id,loop_id,line_ids_oriented,point_ids,edge_len_1,edge_len_2,edge_len_3,angle_A_deg,angle_B_deg,angle_C_deg,min_angle_deg,max_edge_m
1,1,1;2;3,46;48;49,9203.800,4608.807,13489.999,8.718911,153.660056,17.621034,8.718911,13489.999
4,4,10;11;12,89;97;101,556.552,1094.573,548.017,164.571454,7.654300,7.774246,7.654300,1094.573
5,5,13;14;15,92;108;113,4103.299,10996.449,6923.624,171.185011,5.536870,3.278119,3.278119,10996.449
6,6,16;17;18,41;45;49,2090.978,2012.370,4018.845,11.423860,156.699662,11.876478,11.423860,4018.845
9,9,25;26;27,15;28;37,6026.745,4031.263,10049.857,1.886299,175.293051,2.820650,1.886299,10049.857
13,13,37;38;39,46;47;48,5596.110,3756.343,9203.800,8.360405,159.129451,12.510144,8.360405,9203.800
22,22,64;65;66,15;19;28,2010.515,4022.407,6026.745,3.668495,174.498826,1.832679,1.832679,6026.745
26,26,76;77;78,109;110;112,2808.415,4230.993,6994.880,7.920535,166.831429,5.248036,5.248036,6994.880
27,27,79;80;81,110;111;112,2779.156,1459.123,4230.993,2.433628,172.927428,4.638944,2.433628,4230.993
36,36,106;107;108,55;62;108,2044.566,4127.582,2089.987,173.344393,3.364403,3.291204,3.291204,4127.582
49,49,145;146;147,28;32;37,2040.133,2142.888,4031.263,15.875444,149.028979,15.095577,15.095577,4031.263
64,64,190;191;192,16;33;38,8000.537,2037.600,10011.651,2.096530,169.644815,8.258655,2.096530,10011.651
67,67,199;200;201,11;42;46,14016.324,2020.568,16029.002,0.681862,174.582904,4.735234,0.681862,16029.002
68,68,202;203;204,11;38;42,12006.788,2018.489,14016.324,0.838735,174.165979,4.995285,0.838735,14016.324
69,69,205;206;207,11;16;38,2001.580,10011.651,12006.788,4.198055,174.963369,0.838576,0.838576,12006.788
71,71,211;212;213,16;20;25,2168.704,2016.765,4041.690,14.511503,149.856829,15.631669,14.511503,4041.690
73,73,217;218;219,19;24;28,2007.243,2086.180,4022.407,10.898779,158.619589,10.481632,10.481632,4022.407
92,92,274;275;276,16;29;33,6005.716,2031.346,8000.537,3.170113,167.419918,9.409969,3.170113,8000.537
93,93,277;278;279,16;25;29,4041.690,2024.967,6005.716,5.736218,162.756610,11.507172,5.736218,6005.716
102,102,304;305;306,1;6;11,2002.251,2034.628,4009.708,6.705147,166.696881,6.597972,6.597972,4009.708
103,103,307;308;309,1;11;56,4009.708,6011.635,2002.256,178.729382,0.423166,0.847453,0.423166,6011.635
131,131,391;392;393,5;10;15,2013.520,2029.146,4004.296,7.931114,164.199235,7.869651,7.869651,4004.296
134,134,400;401;402,5;37;62,14044.683,16026.928,2009.459,169.909717,1.258693,8.831590,1.258693,16026.928
135,135,403;404;405,5;15;37,4004.296,10049.857,14044.683,3.333089,175.339496,1.327416,1.327416,14044.683
146,146,436;437;438,50;56;103,2140.309,4029.166,2019.269,151.217260,13.963566,14.819174,13.963566,4029.166
152,152,454;455;456,73;93;97,1085.476,1070.990,2145.726,5.682263,168.558358,5.759380,5.682263,2145.726
153,153,457;458;459,56;73;97,6023.720,2145.726,8169.431,0.065668,179.749981,0.184351,0.065668,8169.431
154,154,460;461;462,56;73;103,6023.720,2000.626,4029.166,1.811355,3.649844,174.538801,1.811355,6023.720
186,186,556;557;558,72;92;113,1727.370,6923.624,5222.645,168.437635,8.696023,2.866342,2.866342,6923.624
196,196,586;587;588,67;84;101,1459.390,3036.201,1615.391,161.804655,9.563159,8.632186,8.632186,3036.201
197,197,589;590;591,63;84;101,2418.053,3036.201,5330.096,13.748178,155.341626,10.910196,10.910196,5330.096
198,198,592;593;594,63;79;84,1256.573,1173.771,2418.053,5.571144,168.463326,5.965530,5.571144,2418.053
