surf_id,loop_id,line_ids_oriented,point_ids,edge_len_1,edge_len_2,edge_len_3,angle_A_deg,angle_B_deg,angle_C_deg,min_angle_deg,max_edge_m
1,1,1;2;3,1;399;400,267096.064,2935.282,270024.739,0.041994,176.133955,3.824051,0.041994,270024.739
2,2,4;5;6,3;90;595,2333.621,4667.165,2333.547,179.850663,0.074667,0.074670,0.074667,4667.165
3,3,7;8;9,90;595;596,4667.165,2333.569,7000.730,0.041126,179.876620,0.082253,0.041126,7000.730
4,4,10;11;12,1013;1480;1498,7015.606,79.850,7015.757,0.652121,89.782760,89.565118,0.652121,7015.757
5,5,13;14;15,962;1013;1480,2524.101,7015.606,4494.753,176.367078,2.326618,1.306304,1.306304,7015.606
6,6,16;17;18,1279;1280;1498,2965.822,158554.440,161518.940,1.694829,178.273473,0.031698,0.031698,161518.940
7,7,19;20;21,1;89;90,2333.547,2333.539,4667.086,0.024553,179.950894,0.024553,0.024553,4667.086
8,8,22;23;24,3;89;90,4667.154,2333.539,2333.621,0.098968,0.098972,179.802060,0.098968,4667.154
9,9,25;26;27,1016;1060;1106,2977.447,930.575,2047.223,0.591965,1.302386,178.105648,0.591965,2977.447
12,12,34;35;36,595;596;1014,2333.569,2333.591,4667.154,0.098979,179.802043,0.098978,0.098978,4667.154
13,13,37;38;39,459;502;962,2469.470,6493.585,8962.784,0.723189,179.001793,0.275018,0.275018,8962.784
14,14,40;41;42,459;502;1013,2469.470,3971.544,6441.008,0.094068,179.847441,0.058491,0.058491,6441.008
15,15,43;44;45,502;962;1013,6493.585,2524.101,3971.544,1.150171,1.809914,177.039915,1.150171,6493.585
16,16,46;47;48,1281;1282;1498,2970.425,152617.603,155584.154,2.898160,177.045456,0.056383,0.056383,155584.154
17,17,49;50;51,1280;1281;1498,2974.184,155584.154,158554.440,2.906186,177.038283,0.055532,0.055532,158554.440
18,18,52;53;54,1279;1280;1346,2965.822,1345.430,1620.401,0.129952,0.156511,179.713538,0.129952,2965.822
21,21,61;62;63,596;1102;1103,4333.843,30.480,4334.431,0.402854,90.902675,88.694470,0.402854,4334.431
22,22,64;65;66,596;1014;1102,2333.591,2000.253,4333.843,0.041593,179.909882,0.048524,0.041593,4333.843
24,24,70;71;72,1281;1282;1362,2970.425,1485.128,1485.785,1.037594,1.038053,177.924353,1.037594,2970.425
25,25,73;74;75,1276;1277;1278,2967.772,2975.591,5943.360,0.060939,179.878283,0.060779,0.060779,5943.360
27,27,79;80;81,1278;1279;1369,2974.812,896.897,2078.230,0.547448,1.268595,178.183957,0.547448,2974.812
28,28,82;83;84,1278;1319;1369,1410.942,669.347,2078.230,1.754948,174.543735,3.701317,1.754948,2078.230
29,29,85;86;87,479;1413;1439,9247.744,2002.449,11231.894,1.518476,171.452067,7.029456,1.518476,11231.894
31,31,91;92;93,1438;1439;1495,2938.133,1749.479,1189.429,1.595608,1.084741,177.319651,1.084741,2938.133
32,32,94;95;96,1270;1271;1313,2973.295,1732.807,1241.499,1.765557,1.264866,176.969576,1.264866,2973.295
33,33,97;98;99,1271;1313;1358,1732.807,235.715,1500.892,1.497611,9.579374,168.923015,1.497611,1732.807
34,34,100;101;102,764;825;1271,4659.860,6616.633,2002.449,165.352562,4.389043,10.258394,4.389043,6616.633
38,38,112;113;114,1280;1281;1330,2974.184,1673.955,1301.116,1.587558,1.233900,177.178542,1.233900,2974.184
39,39,115;116;117,774;866;1281,5290.533,7221.075,2002.449,161.941942,4.931203,13.126855,4.931203,7221.075
42,42,124;125;126,1277;1278;1333,2975.591,1484.158,1492.146,1.250278,1.257009,177.492713,1.250278,2975.591
47,47,139;140;141,1;377;378,256244.757,2499.463,258735.479,0.046474,175.183535,4.769992,0.046474,258735.479
50,50,148;149;150,400;907;985,7000.700,4691.914,11670.524,2.882886,172.813394,4.303720,2.882886,11670.524
52,52,154;155;156,852;1313;1358,7010.381,235.715,7000.590,1.926269,86.656616,91.417116,1.926269,7010.381
54,54,160;161;162,1281;1330;1371,1673.955,80.133,1616.492,1.945421,43.220640,134.833939,1.945421,1673.955
