surf_id,loop_id,line_ids_oriented,point_ids,edge_len_1,edge_len_2,edge_len_3,angle_A_deg,angle_B_deg,angle_C_deg,min_angle_deg,max_edge_m
1,1,1;2;3,99;100;102,5533.011,6060.261,11590.277,1.363038,177.392530,1.244432,1.244432,11590.277
14,14,40;41;42,2;5;6,4373.272,1306.088,5675.929,1.088109,175.266255,3.645636,1.088109,5675.929
15,15,43;44;45,1;2;6,2007.198,5675.929,7680.368,2.582497,176.504516,0.912987,0.912987,7680.368
17,17,49;50;51,3;4;5,1640.535,1244.264,2765.443,14.341744,146.596118,19.062138,14.341744,2765.443
18,18,52;53;54,2;3;5,1635.461,2765.443,4373.272,8.361706,166.704689,4.933604,4.933604,4373.272
19,19,55;56;57,1;18;23,1130.451,1058.107,2188.367,0.730231,178.489608,0.780161,0.730231,2188.367
29,29,85;86;87,52;58;63,2019.163,2032.888,4051.147,1.214591,177.579020,1.206389,1.206389,4051.147
37,37,109;110;111,52;81;87,10236.486,2092.537,12323.021,0.807974,175.236485,3.955541,0.807974,12323.021
46,46,136;137;138,52;63;69,4051.147,2048.614,6097.376,1.139235,176.607487,2.253277,1.139235,6097.376
73,73,217;218;219,87;93;98,2024.411,2099.931,4112.075,4.501981,171.158260,4.339758,4.339758,4112.075
83,83,247;248;249,100;101;102,2831.763,3231.676,6060.261,1.981714,176.281885,1.736401,1.736401,6060.261
85,85,253;254;255,80;92;97,4005.268,2024.115,6000.947,3.952033,168.209556,7.838411,3.952033,6000.947
90,90,268;269;270,69;75;81,2057.139,2094.127,4149.095,1.870085,176.292872,1.837043,1.837043,4149.095
100,100,298;299;300,62;74;80,4006.775,2029.146,6002.864,4.262589,167.297730,8.439681,4.262589,6002.864
101,101,301;302;303,62;80;97,6002.864,6000.947,12000.282,1.389304,177.220949,1.389747,1.389304,12000.282
102,102,304;305;306,51;57;62,2031.626,2013.520,4011.117,7.403600,165.125846,7.470555,7.403600,4011.117
104,104,310;311;312,8;23;87,1300.632,22356.521,21061.099,174.714494,4.978446,0.307060,0.307060,22356.521
111,111,331;332;333,8;35;52,3692.061,5103.146,8788.857,2.560025,175.588123,1.851852,1.851852,8788.857
115,115,343;344;345,12;22;28,3404.838,1618.511,2139.416,21.548841,29.045557,129.405602,21.548841,3404.838
142,142,424;425;426,80;86;92,2051.120,2072.269,4005.268,13.819385,152.505022,13.675593,13.675593,4005.268
151,151,451;452;453,62;68;74,2013.519,1999.999,4006.775,3.310524,173.356546,3.332930,3.310524,4006.775
152,152,454;455;456,29;35;40,1714.201,1073.240,641.670,2.129348,1.272908,176.597744,1.272908,1714.201
153,153,457;458;459,8;29;43,1978.384,432.934,1545.551,0.306674,1.094870,178.598456,0.306674,1978.384
154,154,460;461;462,8;29;35,1978.384,1714.201,3692.061,0.898993,178.063452,1.037555,0.898993,3692.061
